acnumber,custid,first_name,last_name,branch_city,account_status,account_typeaccount_activation_date,account_balance,phone,kyc_status,tri_monthly_avg_balance
A01312,C01312,Carter,Eaton,Norfolk,SUSPENDED,DMAT,15-03-2016,36831,7343852956,Y,6335
A01356,C01356,Hank,Terry,Milwaukee,SUSPENDED,DMAT,09-03-2016,23837,7331256763,Y,6590
A01058,C01058,Owen,Fox,Madrid,INACTIVE,SAVINGS,24-02-2016,43279,9436757556,N,7691
A01150,C01150,Morgan,Fox,Columbus,SUSPENDED,DMAT,30-01-2016,34629,7573482577,N,9313
A00910,C00910,Sage,Saunders,Colorado Springs,INACTIVE,SAVINGS,28-01-2016,48704,8346755468,Y,5674
A00070,C00070,Imelda,Kerr,Chełm,SUSPENDED,DMAT,14-01-2016,44315,6846442877,Y,9264
A00718,C00718,Gabriel,Farrant,London,ACTIVE,CURRENT,29-12-2015,41776,9665875734,Y,4156
A00986,C00986,Barney,Dubois,New Orleans,ACTIVE,CURRENT,18-12-2015,41476,7294672338,Y,8840
A01203,C01203,Doug,Simpson,Orlando,INACTIVE,SAVINGS,10-12-2015,32006,8394377686,N,5488
A00796,C00796,Olivia,Tailor,Irving,SUSPENDED,DMAT,28-11-2015,48662,8816893264,N,8974
A01196,C01196,Sienna,Foxley,San Diego,SUSPENDED,DMAT,01-11-2015,41832,8558865399,Y,9065
A00096,C00096,Jakeem,Langley,Limón Puerto Limón,INACTIVE,SAVINGS,22-10-2015,41391,7365436479,N,6061
A01276,C01276,Ryan,Giles,Atlanta,SUSPENDED,DMAT,20-10-2015,48651,7635746615,Y,6883
A00140,C00140,Rashad,Coleman,Putre,INACTIVE,SAVINGS,05-10-2015,34622,6897955658,N,9209
A00261,C00261,Bernard,Gould,Vliermaalroot,SUSPENDED,DMAT,04-10-2015,33076,8444272825,Y,6517
A00118,C00118,Chastity,Lindsay,Chiclayo,ACTIVE,CURRENT,19-09-2015,49074,6754327592,Y,9617
A00826,C00826,Mona,Owen,Huntsville,ACTIVE,CURRENT,26-08-2015,37256,7577321262,Y,3904
A01307,C01307,Kamila,Victor,Las Vegas,ACTIVE,CURRENT,11-08-2015,49699,9646862824,Y,2584
A00993,C00993,Clint,Gates,Worcester,SUSPENDED,DMAT,04-08-2015,19694,6548797872,Y,4147
A01173,C01173,Ciara,Rigg,Berlin,ACTIVE,CURRENT,18-07-2015,35651,6779744863,Y,9567
A01029,C01029,Isla,Jones,Memphis,ACTIVE,CURRENT,28-06-2015,44330,9123122317,Y,5004
A00581,C00581,Ryan,Isaac,Boston,SUSPENDED,DMAT,19-06-2015,16770,6655574816,Y,4099
A00732,C00732,Caleb,Watson,Glendale,SUSPENDED,DMAT,04-06-2015,39683,6568255622,N,9867
A00201,C00201,Jason,Young,São Luís,ACTIVE,CURRENT,31-05-2015,38973,9238457955,Y,9398
A00117,C00117,Merrill,Daniel,Bajaur Agency,SUSPENDED,DMAT,23-05-2015,45111,8317117272,Y,3279
A01267,C01267,Daria,Morley,Oklahoma City,SUSPENDED,DMAT,22-05-2015,41793,6237233853,N,3631
A01179,C01179,Maxwell,Turner,Lincoln,SUSPENDED,DMAT,18-05-2015,41308,8789383552,N,3514
A00717,C00717,Natalie,Amstead,Rochester,ACTIVE,CURRENT,13-05-2015,24114,6464646333,Y,2380
A00279,C00279,Tanek,Drake,Pietermaritzburg,SUSPENDED,DMAT,29-04-2015,37535,7973864798,N,1275
A01313,C01313,Jacob,Todd,Paris,SUSPENDED,DMAT,28-04-2015,38405,6791755376,N,9195
A01054,C01054,Greta,Pickard,Glendale,ACTIVE,CURRENT,27-04-2015,31765,6987269334,Y,3496
A01338,C01338,Jacob,Reid,Arlington,SUSPENDED,DMAT,14-04-2015,37395,8531721114,N,5778
A00603,C00603,Thea,Collins,New Orleans,INACTIVE,SAVINGS,26-03-2015,29260,7224532973,N,7283
A01124,C01124,Trisha,Ross,Jersey City,SUSPENDED,DMAT,25-03-2015,33128,7226645642,Y,9265
A00200,C00200,Mikayla,Wall,Novgorod,ACTIVE,CURRENT,12-03-2015,19743,8582654732,Y,1826
A00019,C00019,Myra,House,Ribeirão Preto,ACTIVE,CURRENT,03-03-2015,16745,6657273676,Y,4197
A00103,C00103,Gregory,Clay,Southern Islands,INACTIVE,SAVINGS,28-02-2015,29798,6839741253,N,5923
A00821,C00821,Summer,Hopkins,Worcester,INACTIVE,SAVINGS,23-01-2015,31831,8847832395,Y,7130
A00340,C00340,Heidi,Hart,Daussoulx,SUSPENDED,DMAT,20-01-2015,22726,7328514386,N,8375
A00898,C00898,Cameron,Garcia,Milano,ACTIVE,CURRENT,18-01-2015,47447,9746617436,Y,4841
A01468,C01468,Francesca,Cattell,Louisville,ACTIVE,CURRENT,09-01-2015,45401,8325865648,Y,3590
A01241,C01241,Carl,Miller,Baltimore,SUSPENDED,DMAT,06-12-2014,24203,7382483867,Y,9962
A01160,C01160,Zara,Griffiths,Fayetteville,SUSPENDED,DMAT,05-12-2014,32784,8898537866,Y,4401
A00003,C00003,Whilemina,Montgomery,Logroño,ACTIVE,CURRENT,04-11-2014,48168,9723761962,Y,3155
A00405,C00405,Wynter,Dalton,Jeju,SUSPENDED,DMAT,03-11-2014,34390,8239437435,Y,4534
A01316,C01316,Sasha,Ingham,San Jose,ACTIVE,CURRENT,03-11-2014,27927,9132478151,Y,5936
A00009,C00009,Boris,Kaufman,Avesta,SUSPENDED,DMAT,02-11-2014,15120,7728176987,Y,1932
A00941,C00941,Hazel,Booth,Omaha,SUSPENDED,DMAT,23-10-2014,35375,6399742856,Y,9046
A01495,C01495,Kurt,Atkinson,Berna,ACTIVE,CURRENT,18-10-2014,44485,7735767125,Y,6019
A00715,C00715,Aiden,Addley,Fort Lauderdale,SUSPENDED,DMAT,14-10-2014,36663,6863344275,N,7514
A01336,C01336,Mavis,Exton,Seattle,INACTIVE,SAVINGS,12-10-2014,28064,7356656373,Y,4914
A00165,C00165,Jelani,Mcmillan,Guizhou,ACTIVE,CURRENT,06-10-2014,18673,8454477494,Y,1261
A00296,C00296,Nomlanga,Bowman,Joondalup,SUSPENDED,DMAT,04-10-2014,40810,7487929636,N,1255
A00748,C00748,Leah,Walsh,Prague,INACTIVE,SAVINGS,02-10-2014,19769,6436233785,N,9774
A00547,C00547,Roger,Marshall,Philadelphia,ACTIVE,CURRENT,01-10-2014,35528,6251752574,Y,5298
A00208,C00208,Calvin,Torres,Schagen,ACTIVE,CURRENT,22-09-2014,19700,6794441293,Y,1570
A01201,C01201,Maddison,Wilkinson,Pittsburgh,INACTIVE,SAVINGS,13-09-2014,22313,9421535637,Y,4566
A01455,C01455,Daphne,Dubois,Laredo,SUSPENDED,DMAT,11-09-2014,34127,6452261245,Y,9864
A00258,C00258,Plato,Mayo,Perchtoldsdorf,INACTIVE,SAVINGS,31-08-2014,27340,6469152785,Y,7756
A00935,C00935,Martin,Khan,Louisville,ACTIVE,CURRENT,29-08-2014,30661,7337564316,Y,7040
A01304,C01304,Gil,Benfield,Lisbon,SUSPENDED,DMAT,24-08-2014,33890,6617525578,Y,9337
A00961,C00961,Barry,Furnell,New Orleans,ACTIVE,CURRENT,15-08-2014,36949,7862229828,Y,1886
A01226,C01226,Maia,Stewart,Berna,ACTIVE,CURRENT,08-08-2014,34750,7254877948,Y,9718
A00237,C00237,Oscar,Snow,Galway,ACTIVE,CURRENT,05-08-2014,16321,6622823393,Y,2252
A01126,C01126,Bethany,Payne,Saint Paul,ACTIVE,CURRENT,03-08-2014,25455,9672475553,Y,9333
A00467,C00467,Scarlet,Cox,Bathurst,SUSPENDED,DMAT,22-07-2014,31224,9677324164,N,5326
A00948,C00948,Nicole,Spencer,Bakersfield,SUSPENDED,DMAT,17-07-2014,22564,9186538735,N,3838
A01285,C01285,Megan,Murray,Phoenix,SUSPENDED,DMAT,02-07-2014,41724,8444653629,N,1392
A00970,C00970,Aisha,Parsons,Amarillo,ACTIVE,CURRENT,30-06-2014,17981,9894222633,Y,7468
A01131,C01131,Angelique,Ramsey,Portland,INACTIVE,SAVINGS,09-06-2014,39213,8963538435,N,9618
A00412,C00412,Ebony,Mercer,Sankt Johann im Pongau,SUSPENDED,DMAT,02-06-2014,37161,9219628559,N,5680
A01486,C01486,Mandy,Mann,Santa Ana,ACTIVE,CURRENT,29-05-2014,49448,7863336258,Y,8028
A01435,C01435,Jackeline,Bristow,Washington,INACTIVE,SAVINGS,26-05-2014,21068,7989523839,Y,3361
A01228,C01228,Jamie,Oswald,Seattle,INACTIVE,SAVINGS,13-05-2014,20546,9268855855,Y,6562
A00489,C00489,Anjolie,Neal,Kaduna,ACTIVE,CURRENT,27-04-2014,35342,9856558335,Y,9522
A01290,C01290,Percy,Martin,London,INACTIVE,SAVINGS,26-04-2014,22228,6373229267,N,1053
A01420,C01420,Davina,Shelton,Jersey City,SUSPENDED,DMAT,13-04-2014,15758,9554382675,Y,8841
A00167,C00167,Scarlett,Wolf,Caloundra,INACTIVE,SAVINGS,08-04-2014,24466,8649338665,N,6709
A00925,C00925,Juliet,Heaton,Lisbon,ACTIVE,CURRENT,30-03-2014,23800,7585993535,Y,2768
A00369,C00369,Regan,Terrell,Orhangazi,SUSPENDED,DMAT,19-03-2014,15390,8453799246,Y,6584
A00870,C00870,Christy,Sheldon,Huntsville,ACTIVE,CURRENT,01-03-2014,30574,6238261555,Y,6140
A00629,C00629,Owen,Williams,Innsbruck,ACTIVE,CURRENT,25-02-2014,47047,7493348222,Y,8463
A00693,C00693,Rebecca,Tailor,Milano,INACTIVE,SAVINGS,24-02-2014,29059,6216825621,Y,2149
A00502,C00502,Phillip,Cooper,Moreno Valley,ACTIVE,CURRENT,15-02-2014,15072,9283884656,Y,4147
A00235,C00235,Indigo,Lynch,Whitehorse,ACTIVE,CURRENT,11-02-2014,39822,7391849333,N,5447
A01176,C01176,Kurt,Farmer,Berna,INACTIVE,SAVINGS,24-01-2014,49976,7487351561,Y,2057
A00533,C00533,Jacob,Freeburn,Denver,INACTIVE,SAVINGS,22-01-2014,30909,7231584855,Y,6782
A00448,C00448,Hammett,Conway,Gansu,SUSPENDED,DMAT,19-01-2014,21241,6676599263,N,8525
A01178,C01178,Danny,Watt,Bellevue,SUSPENDED,DMAT,12-01-2014,31821,8455696932,N,1638
A00199,C00199,Philip,Smith,Balfour,ACTIVE,CURRENT,09-01-2014,35740,6785364428,N,3107
A00216,C00216,Danielle,Holland,Hastings,SUSPENDED,DMAT,29-12-2013,35111,6822437954,N,1573
A00903,C00903,Russel,Reid,Nashville,SUSPENDED,DMAT,24-12-2013,32245,8976953788,N,1156
A00131,C00131,Burton,Mejia,Göksun,INACTIVE,SAVINGS,19-12-2013,48216,9436845549,N,7945
A00197,C00197,Jessica,Mendez,Koszalin,SUSPENDED,DMAT,10-11-2013,36603,7643497277,Y,1345
A01099,C01099,Callie,Ross,Hayward,ACTIVE,CURRENT,07-11-2013,48510,7724271877,N,3884
A00038,C00038,Fallon,Summers,Querétaro,ACTIVE,CURRENT,03-11-2013,44223,6359528761,Y,1224
A00054,C00054,Beverly,Shields,El Tambo,SUSPENDED,DMAT,17-10-2013,46236,6636526823,Y,9267
A00021,C00021,Cassidy,Frye,Sibasa,ACTIVE,CURRENT,15-10-2013,48632,8551353342,Y,8658
A00881,C00881,Domenic,Robertson,Tokyo,ACTIVE,CURRENT,20-09-2013,45944,6366188248,Y,2220
A01185,C01185,Henry,Shaw,Innsbruck,INACTIVE,SAVINGS,08-09-2013,15220,8481854824,Y,4017
A01092,C01092,Gwen,Vaughan,Milwaukee,ACTIVE,CURRENT,04-09-2013,49504,7225645334,Y,5455
A01279,C01279,Ilona,Blackwall,Jersey City,ACTIVE,CURRENT,31-08-2013,21063,9722442434,Y,2049
A00685,C00685,Dani,Palmer,Jacksonville,INACTIVE,SAVINGS,21-08-2013,46430,8533834354,Y,7006
A00618,C00618,Lucas,Lunt,Escondido,ACTIVE,CURRENT,15-08-2013,30524,6324996485,Y,8483
A00244,C00244,Brady,Carter,Kupang,ACTIVE,CURRENT,12-07-2013,21101,7728663124,N,7276
A00803,C00803,Caleb,Sylvester,Prague,INACTIVE,SAVINGS,24-06-2013,18328,9814333234,N,5380
A00971,C00971,Rufus,Wilson,Fort Lauderdale,INACTIVE,SAVINGS,05-06-2013,36605,7885633333,N,5139
A00873,C00873,Joseph,Veale,San Bernardino,INACTIVE,SAVINGS,04-06-2013,26680,8218357531,Y,8006
A00845,C00845,Cassidy,Watson,New York,ACTIVE,CURRENT,24-05-2013,30549,7178284372,Y,5942
A00716,C00716,Sabrina,Fleming,Huntsville,SUSPENDED,DMAT,21-05-2013,46723,9248773287,N,4098
A00259,C00259,Riley,Vaughan,Cao Lãnh,SUSPENDED,DMAT,16-05-2013,17375,6275575549,N,4705
A00771,C00771,Belinda,Marshall,Huntsville,ACTIVE,CURRENT,10-05-2013,36320,8578458126,N,5510
A00107,C00107,Jocelyn,Lara,Walhain-Saint-Paul,SUSPENDED,DMAT,03-05-2013,39187,7852312563,N,3630
A01445,C01445,Abdul,Santos,Portland,INACTIVE,SAVINGS,30-04-2013,19115,9277963291,N,6547
A00864,C00864,Oliver,Dempsey,Detroit,INACTIVE,SAVINGS,23-04-2013,49784,6526458379,N,8245
A00028,C00028,Ferris,Pickett,Virginia Beach,ACTIVE,CURRENT,14-04-2013,20129,6422494569,N,8081
A01256,C01256,Noah,Holt,Hayward,INACTIVE,SAVINGS,06-04-2013,34242,8727434516,Y,1104
A00538,C00538,Alexander,Exton,Indianapolis,ACTIVE,CURRENT,21-03-2013,27257,9476456857,Y,8963
A01125,C01125,Chad,Farrow,Stockton,SUSPENDED,DMAT,21-03-2013,19785,6346427418,Y,6857
A00257,C00257,Nola,Leblanc,Buzet,INACTIVE,SAVINGS,10-03-2013,30545,7863598222,Y,7891
A00434,C00434,Lacota,Schmidt,Bydgoszcz,ACTIVE,CURRENT,20-02-2013,30718,9349564267,Y,1510
A00360,C00360,Francesca,Fitzpatrick,Alice,SUSPENDED,DMAT,06-02-2013,19407,8714479677,N,2560
A00228,C00228,Amos,Arnold,Lipetsk,ACTIVE,CURRENT,31-01-2013,23088,6671728987,N,7679
A00078,C00078,Judah,Simon,Galway,INACTIVE,SAVINGS,20-12-2012,27421,9295682526,Y,9035
A00923,C00923,Erick,Turner,Berna,SUSPENDED,DMAT,17-11-2012,39541,9843563576,N,9527
A00020,C00020,Regan,Duke,Limoges,ACTIVE,CURRENT,09-11-2012,40740,8433847846,N,5834
A00148,C00148,Camilla,Vang,Koekelberg,INACTIVE,SAVINGS,27-09-2012,16108,9914811731,N,2524
A00476,C00476,Xandra,Arnold,Lim Chu Kang,SUSPENDED,DMAT,26-09-2012,47068,9744194348,N,2942
A01272,C01272,Mackenzie,Benfield,Atlanta,INACTIVE,SAVINGS,22-09-2012,25476,8744656268,Y,6761
A01346,C01346,Helen,Squire,Albuquerque,INACTIVE,SAVINGS,08-09-2012,38373,7527862497,N,3916
A00688,C00688,Tara,Barrett,Worcester,SUSPENDED,DMAT,11-07-2012,34131,9879146551,N,7804
A00170,C00170,Rose,Houston,Parral,SUSPENDED,DMAT,25-06-2012,46579,6826244159,Y,1385
A00251,C00251,Patricia,Huffman,Croydon,SUSPENDED,DMAT,20-06-2012,29334,7892844247,N,9663
A00931,C00931,Martha,Poulton,Oklahoma City,SUSPENDED,DMAT,18-06-2012,34924,7399977138,N,9294
A01490,C01490,Iris,Glass,Prague,INACTIVE,SAVINGS,18-06-2012,21364,8249366665,N,9029
A00673,C00673,Doug,Casey,Nashville,ACTIVE,CURRENT,09-06-2012,30080,9484321173,Y,4600
A01390,C01390,Jazmin,Ebbs,Honolulu,INACTIVE,SAVINGS,25-05-2012,15112,9693877851,N,8038
A01109,C01109,Daniel,Driscoll,Philadelphia,ACTIVE,CURRENT,28-04-2012,33058,6594226536,Y,1789
A01418,C01418,Raquel,Huggins,Fayetteville,INACTIVE,SAVINGS,25-04-2012,47067,6652852424,N,5258
A00441,C00441,Noah,Douglas,Kavaratti,SUSPENDED,DMAT,23-04-2012,31562,8825713665,Y,6740
A00535,C00535,Josh,Moreno,Berna,SUSPENDED,DMAT,13-04-2012,34787,7166521189,N,9044
A01190,C01190,Wade,Ingham,Norfolk,ACTIVE,CURRENT,11-04-2012,37960,8997372682,N,9251
A00285,C00285,Sylvia,Lynch,Cochrane,INACTIVE,SAVINGS,02-04-2012,22556,8976672149,Y,2980
A00356,C00356,Seth,Sullivan,Dallas,INACTIVE,SAVINGS,26-03-2012,25737,9748463783,N,7134
A01270,C01270,Sabrina,Lee,Boston,ACTIVE,CURRENT,06-03-2012,30369,8593834872,N,7147
A00588,C00588,Elena,Dixon,Murfreesboro,SUSPENDED,DMAT,28-02-2012,40919,9623268268,N,9751
A00469,C00469,Margaret,Dominguez,Whyalla,ACTIVE,CURRENT,07-02-2012,15802,8654284358,Y,6440
A00425,C00425,Merritt,Jimenez,Ninh Giang,ACTIVE,CURRENT,31-01-2012,43350,8168388757,Y,8604
A00788,C00788,Bob,Cox,Scottsdale,SUSPENDED,DMAT,25-01-2012,28487,7442184858,N,1828
A00218,C00218,Laith,Henry,Weyburn,ACTIVE,CURRENT,23-01-2012,28080,8287448993,Y,4304
A01177,C01177,Andie,Selby,Phoenix,SUSPENDED,DMAT,16-01-2012,47710,8357465653,Y,3531
A01132,C01132,Mayleen,Power,Innsbruck,SUSPENDED,DMAT,31-12-2011,42036,9372665568,Y,2533
A00123,C00123,Todd,Clay,Hainan,INACTIVE,SAVINGS,25-12-2011,17226,9798633497,N,4565
A00442,C00442,Sasha,Wolf,Steendorp,ACTIVE,CURRENT,16-12-2011,41237,6474632754,Y,7223
A00015,C00015,Lamar,Barton,Peshawar,INACTIVE,SAVINGS,27-11-2011,22456,7264125246,N,7050
A00355,C00355,Haviva,Garner,Valéncia,INACTIVE,SAVINGS,24-11-2011,46819,8345696887,N,6106
A01397,C01397,Peyton,Locke,Innsbruck,ACTIVE,CURRENT,20-11-2011,24257,6688424652,N,5668
A01485,C01485,Esmeralda,Martin,Innsbruck,ACTIVE,CURRENT,02-11-2011,41815,7885353389,N,7798
A01018,C01018,Joseph,Dann,Worcester,ACTIVE,CURRENT,01-11-2011,33465,8275622882,N,7052
A01456,C01456,Colleen,Parr,Worcester,SUSPENDED,DMAT,26-10-2011,49703,9753888687,Y,5851
A00435,C00435,Alea,Hutchinson,Sasaram,ACTIVE,CURRENT,24-10-2011,17822,6663554788,N,9634
A00249,C00249,Amena,Norris,Mazatlán,INACTIVE,SAVINGS,15-10-2011,41803,9599463795,Y,2467
A00333,C00333,Rooney,Hart,Stockerau,SUSPENDED,DMAT,08-10-2011,31210,6739728585,Y,6878
A00289,C00289,Abel,Lowery,Cork,ACTIVE,CURRENT,27-09-2011,46226,8273461448,Y,3220
A00152,C00152,Sigourney,Mosley,Jeju,SUSPENDED,DMAT,08-09-2011,35366,6339935465,N,5359
A00807,C00807,Joseph,Vangness,Fort Lauderdale,ACTIVE,CURRENT,04-09-2011,32103,9341432653,N,7261
A01144,C01144,Ramon,Richardson,Innsbruck,ACTIVE,CURRENT,30-08-2011,45406,7444571567,Y,4686
A01461,C01461,Esmeralda,Antcliff,Sacramento,INACTIVE,SAVINGS,23-08-2011,24986,9847357798,N,1302
A00730,C00730,Leilani,Cassidy,Toledo,INACTIVE,SAVINGS,17-08-2011,19172,9456298254,Y,9756
A01357,C01357,Joy,Emerson,Garland,SUSPENDED,DMAT,13-08-2011,35351,6373245826,N,5198
A00556,C00556,Ryan,Alcroft,Madrid,ACTIVE,CURRENT,08-08-2011,31699,9328692144,N,6328
A00353,C00353,Wynne,Frazier,Pleiku,ACTIVE,CURRENT,17-07-2011,32225,7813686356,Y,9206
A00829,C00829,Violet,Weston,Lyon,INACTIVE,SAVINGS,13-07-2011,49585,9672697846,Y,3718
A01437,C01437,Zoe,Goodman,Indianapolis,SUSPENDED,DMAT,07-07-2011,26010,7667953848,N,4753
A00004,C00004,Amy,Wilson,Kapiti,INACTIVE,SAVINGS,30-06-2011,33973,6748443389,N,3335
A00156,C00156,Kelsey,Boyd,Trollhättan,ACTIVE,CURRENT,17-06-2011,37925,8246291726,N,7692
A01119,C01119,Tony,Lomax,Richmond,ACTIVE,CURRENT,14-05-2011,38942,6244271724,N,1874
A01264,C01264,Tyson,Dobson,Valetta,INACTIVE,SAVINGS,24-03-2011,30881,7646627757,Y,9199
A00706,C00706,Vanessa,Harrison,Hollywood,SUSPENDED,DMAT,23-03-2011,22861,9382947437,Y,7705
A00768,C00768,Oliver,Myatt,Glendale,SUSPENDED,DMAT,17-03-2011,24755,8648792818,N,6984
A01064,C01064,Chadwick,Rowan,Anaheim,ACTIVE,CURRENT,09-01-2011,27554,6427535744,Y,3411
A01163,C01163,Tony,Sawyer,Bellevue,ACTIVE,CURRENT,28-12-2010,19925,9777794364,N,7608
A00298,C00298,Haley,Fuller,Aguacaliente San Francisco,ACTIVE,CURRENT,12-12-2010,22188,9775518688,Y,4335
A01366,C01366,Phillip,Scott,Escondido,SUSPENDED,DMAT,08-12-2010,33163,7644852251,N,4704
A00904,C00904,Denny,Flynn,Boston,SUSPENDED,DMAT,02-12-2010,20516,7758477963,N,1072
A00537,C00537,Sofia,Potter,Milwaukee,ACTIVE,CURRENT,22-11-2010,20400,7512638425,Y,1922
A00240,C00240,Bethany,Wise,Metz,INACTIVE,SAVINGS,14-11-2010,42765,7888853447,N,1968
A00264,C00264,Malcolm,Shields,General Lagos,ACTIVE,CURRENT,12-11-2010,47519,8855772497,N,2874
A01419,C01419,Alison,Pond,St. Louis,SUSPENDED,DMAT,29-09-2010,30309,6338582823,Y,5595
A01189,C01189,Anthony,Nayler,Rochester,ACTIVE,CURRENT,20-09-2010,45857,7341283743,Y,8351
A00327,C00327,Lionel,Harvey,Haisyn,ACTIVE,CURRENT,15-09-2010,46961,6865747862,N,8417
A00382,C00382,Len,Woods,Lipa,INACTIVE,SAVINGS,06-09-2010,45869,8428557258,Y,6248
A00628,C00628,Bryon,Hall,Salem,ACTIVE,CURRENT,05-09-2010,34822,7412575176,N,6017
A01323,C01323,Andie,Noon,Berna,ACTIVE,CURRENT,27-08-2010,18335,7135812626,Y,9694
A00176,C00176,Sybill,Strong,Haveli,INACTIVE,SAVINGS,21-08-2010,23068,6643144247,N,4761
A01465,C01465,Nicholas,Bright,Tulsa,SUSPENDED,DMAT,12-08-2010,40150,6523668238,N,1172
A00302,C00302,Quentin,Joyce,Mataram,INACTIVE,SAVINGS,09-08-2010,44340,8635519973,Y,5073
A00985,C00985,Paige,Judd,Seattle,SUSPENDED,DMAT,31-07-2010,43395,6646257377,Y,4450
A00868,C00868,Rowan,Sheldon,Tulsa,SUSPENDED,DMAT,07-07-2010,21096,8226728342,N,4712
A01136,C01136,Tony,Notman,Chicago,ACTIVE,CURRENT,19-06-2010,31915,9827742323,Y,7478
A00068,C00068,Harding,Logan,Sart-Eustache,INACTIVE,SAVINGS,15-06-2010,43530,7688668553,N,6076
A01062,C01062,Roger,Tanner,Moreno Valley,SUSPENDED,DMAT,09-06-2010,22454,8445975222,N,6750
A00419,C00419,Helen,William,Santa Maria,INACTIVE,SAVINGS,05-06-2010,47544,6392721712,N,3682
A01146,C01146,Nathan,Buckley,Laredo,ACTIVE,CURRENT,31-05-2010,21001,8765474877,N,5659
A00977,C00977,Benjamin,Windsor,Norfolk,ACTIVE,CURRENT,27-05-2010,25505,7526817587,Y,8010
A00128,C00128,Cassidy,Grimes,Urdaneta,ACTIVE,CURRENT,23-05-2010,35398,7623838861,N,3389
A00185,C00185,Lance,Molina,Częstochowa,INACTIVE,SAVINGS,23-05-2010,20417,8539893412,Y,2305
A00086,C00086,Haviva,Kidd,Kuruman,INACTIVE,SAVINGS,17-05-2010,21732,6269718923,Y,8507
A00945,C00945,Francesca,Welsch,Amarillo,INACTIVE,SAVINGS,11-05-2010,47215,7967518438,Y,3827
A00943,C00943,Alex,Bloom,Chicago,ACTIVE,CURRENT,03-05-2010,17668,9143948232,N,9228
A00373,C00373,Quentin,Hutchinson,Söderhamn,INACTIVE,SAVINGS,09-04-2010,29218,6235292222,Y,1621
A01487,C01487,Madison,Farrow,Bridgeport,ACTIVE,CURRENT,28-03-2010,17315,9486835443,Y,7348
A00453,C00453,Amir,Spence,Pleiku,ACTIVE,CURRENT,27-03-2010,48079,9835717283,Y,8891
A00953,C00953,Henry,Wills,Lyon,INACTIVE,SAVINGS,17-03-2010,19276,7837392526,Y,1114
A01344,C01344,Freya,Cassidy,Rome,INACTIVE,SAVINGS,15-03-2010,15980,9558484937,Y,3879
A00111,C00111,Allistair,Buckley,Moss,ACTIVE,CURRENT,28-02-2010,41568,6765395346,N,8648
A01137,C01137,Belinda,Logan,Irving,ACTIVE,CURRENT,22-02-2010,42181,7232241777,Y,2264
A01434,C01434,Maribel,Sylvester,San Bernardino,INACTIVE,SAVINGS,08-02-2010,47864,6815358595,N,7196
A00609,C00609,Jessica,Dallas,Madison,ACTIVE,CURRENT,07-02-2010,17355,6673198164,Y,4812
A00614,C00614,Maya,Addison,Lakewood,INACTIVE,SAVINGS,06-02-2010,49438,9564826659,Y,6307
A01069,C01069,Chris,Waterhouse,Irving,SUSPENDED,DMAT,29-01-2010,32120,6794825153,Y,8377
A00996,C00996,Marilyn,Sherry,Miami,ACTIVE,CURRENT,09-01-2010,29576,7437379335,Y,4123
A01450,C01450,Wade,Rodwell,Portland,ACTIVE,CURRENT,18-12-2009,32805,8575656558,N,2903
A00042,C00042,Cassandra,Ware,Tuxtla Gutiérrez,INACTIVE,SAVINGS,08-12-2009,30976,7795671583,Y,5781
A00805,C00805,Miriam,Zaoui,El Paso,SUSPENDED,DMAT,02-12-2009,46909,6889862533,Y,9067
A00322,C00322,Breanna,Mcfarland,Blue Mountains,SUSPENDED,DMAT,28-11-2009,44128,7758364848,Y,8127
A00611,C00611,Alan,Kent,Worcester,ACTIVE,CURRENT,06-11-2009,28370,6182376444,N,4083
A01224,C01224,Bridget,Notman,Denver,SUSPENDED,DMAT,19-10-2009,37537,7729454772,Y,8788
A00751,C00751,Clarissa,Thorne,Colorado Springs,SUSPENDED,DMAT,12-10-2009,26719,8577729345,N,7104
A01095,C01095,Emely,Roberts,Murfreesboro,INACTIVE,SAVINGS,12-10-2009,38497,6634145236,N,5715
A01153,C01153,Rufus,Stone,Bucharest,ACTIVE,CURRENT,21-09-2009,49936,8717123222,Y,2378
A01266,C01266,Marvin,Reid,Detroit,INACTIVE,SAVINGS,20-09-2009,26080,9144199175,N,6642
A00263,C00263,Shellie,Blevins,Caloocan,ACTIVE,CURRENT,14-09-2009,34464,7152637653,N,7782
A01386,C01386,Sabina,Ward,Venice,ACTIVE,CURRENT,28-07-2009,30804,9439574277,N,6330
A00154,C00154,Lee,Galloway,Thanh Nê,ACTIVE,CURRENT,14-07-2009,35056,8655688363,Y,7192
A01175,C01175,Diane,Collis,Richmond,INACTIVE,SAVINGS,27-06-2009,27918,6284638363,N,2906
A01395,C01395,Gabriel,Jenkins,Chicago,ACTIVE,CURRENT,23-06-2009,18812,9813668473,Y,4225
A00161,C00161,Holly,Ellis,Castelló,SUSPENDED,DMAT,06-06-2009,31505,9529494486,Y,4828
A01324,C01324,David,Penn,San Bernardino,ACTIVE,CURRENT,17-05-2009,34519,8566535342,Y,3248
A00764,C00764,Doris,Townend,Pittsburgh,ACTIVE,CURRENT,25-04-2009,31025,7855632466,N,9393
A00574,C00574,Parker,Booth,Bakersfield,ACTIVE,CURRENT,09-04-2009,42078,8735145232,Y,9229
A00219,C00219,George,Parker,Taltal,ACTIVE,CURRENT,25-03-2009,46033,7675646186,N,8088
A01416,C01416,Julius,Uttridge,Valetta,INACTIVE,SAVINGS,22-03-2009,36007,8659776485,Y,1238
